Accession,Collection_Date,Host,Country,Subtype,Length,Isolate
WRK84442,11/14/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14298
WRK84441,11/14/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14297
WRK84440,10/31/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14296
WRK84439,10/27/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14295
WRK84438,11/7/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14294
WRK84437,11/13/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14293
WRK84436,11/6/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14292
WRK84434,11/14/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14291
WRK84432,10/25/2023,Homo sapiens,Japan,H1N1,566,USAFSAM-14290
WRK84428,11/21/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14289
WRK84426,11/7/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14288
WRK84425,11/3/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14287
WRK84424,10/30/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14286
WRK84423,11/2/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14285
WRK84416,11/1/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14284
WRK84415,10/28/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14283
WRK84414,10/24/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14282
WRK84413,10/24/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14281
WRK84412,10/24/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14280
WRK84829,10/19/2023,Homo sapiens,USA,,582,USAFSAM-14279
WRK84443,10/1/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14278
WRK84435,9/27/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14277
WRK84427,10/26/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14276
WRK84422,10/24/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14275
WRK84411,10/16/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14274
WPM03906,9/28/2023,Homo sapiens,USA,,582,USAFSAM-14273
WPM03895,10/4/2023,Homo sapiens,USA,,582,USAFSAM-14272
WPM03884,10/3/2023,Homo sapiens,USA,,582,USAFSAM-14271
WPM03781,9/21/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14270
WPM03780,9/21/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14269
WPM03779,9/22/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14268
WPM03778,9/28/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14267
WPM03777,9/26/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14266
WPM03776,9/23/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14265
WPM03775,9/26/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14264
WPM03774,9/17/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14263
WPM03773,9/27/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14262
WPM03772,10/3/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14261
WPM03771,10/3/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14260
WPM03770,10/10/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14259
WPM03769,10/12/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14258
WPM03768,10/1/2023,Homo sapiens,Japan,H1N1,566,USAFSAM-14257
WPM03767,9/25/2023,Homo sapiens,Japan,H1N1,566,USAFSAM-14256
WPM03737,9/11/2023,Homo sapiens,USA,H3N2,566,USAFSAM-14255
WPM03711,9/10/2023,Homo sapiens,USA,H1N1,566,USAFSAM-14254
WPM03710,9/11/2023,Homo sapiens,Japan,H3N2,566,USAFSAM-14253
WPM03709,9/6/2023,Homo sapiens,Japan,H3N2,566,USAFSAM-14252
XTK65801,3/24/2025,Homo sapiens,USA,H3N2,566,UM-MHM3513
XTK65817,3/20/2025,Homo sapiens,USA,H3N2,566,UM-MHM3506
XTK64948,3/7/2025,Homo sapiens,USA,H1N1,566,UM-MHM3482
XTK64939,3/7/2025,Homo sapiens,USA,H1N1,566,UM-MHM3481
XTK64918,2/28/2025,Homo sapiens,USA,H1N1,566,UM-MHM3474
XTK64916,3/9/2025,Homo sapiens,USA,H1N1,566,UM-MHM3472
XTK64903,2/24/2025,Homo sapiens,USA,H1N1,566,UM-MHM3452
XTK64889,2/21/2025,Homo sapiens,USA,H1N1,566,UM-MHM3444
XTK64884,2/14/2025,Homo sapiens,USA,H1N1,566,UM-MHM3428
XTK64867,1/14/2025,Homo sapiens,USA,H1N1,566,UM-MHM3423
XUB16097,1/31/2025,Homo sapiens,USA,,582,UM-MHM3337
XTK65765,2/1/2025,Homo sapiens,USA,H3N2,566,UM-MHM3323
XTK65705,1/29/2025,Homo sapiens,USA,H3N2,566,UM-MHM3320
XTK64859,1/21/2025,Homo sapiens,USA,H1N1,566,UM-MHM3312
XTK64841,1/21/2025,Homo sapiens,USA,H1N1,566,UM-MHM3304
XTK64840,1/24/2025,Homo sapiens,USA,H1N1,566,UM-MHM3288
XTK65980,1/24/2025,Homo sapiens,USA,H3N2,566,UM-MHM3280
XTK65641,1/17/2025,Homo sapiens,USA,H3N2,566,UM-MHM3253
XPD02461,1/17/2025,Homo sapiens,USA,H1N1,566,UM-MHM3229
XPD02448,1/17/2025,Homo sapiens,USA,H1N1,566,UM-MHM3228
XPD02434,1/15/2025,Homo sapiens,USA,H1N1,566,UM-MHM3224
XBR33519,4/21/2024,Homo sapiens,USA,H1N1,566,UM-MHM3011
XBR33513,4/18/2024,Homo sapiens,USA,H1N1,566,UM-MHM3009
XBR33499,4/18/2024,Homo sapiens,USA,H1N1,566,UM-MHM3007
XBR17205,4/5/2024,Homo sapiens,USA,H3N2,566,UM-MHM2972
XBR17445,3/25/2024,Homo sapiens,USA,H3N2,566,UM-MHM2967
XBR17240,3/6/2024,Homo sapiens,USA,H3N2,566,UM-MHM2951
WZN19094,2/23/2024,Homo sapiens,USA,H1N1,566,UM-MHM2944
WZN19074,2/19/2024,Homo sapiens,USA,H1N1,566,UM-MHM2922
WZN18616,1/24/2024,Homo sapiens,USA,H3N2,566,UM-MHM2894
WZN18670,1/24/2024,Homo sapiens,USA,H3N2,566,UM-MHM2893
WZN18444,1/24/2024,Homo sapiens,USA,H3N2,566,UM-MHM2891
XTK64824,3/16/2025,Homo sapiens,USA,H1N1,566,UM-HS23808
XTK65974,3/12/2025,Homo sapiens,USA,H3N2,566,UM-HS23786
XTK64809,3/24/2025,Homo sapiens,USA,H1N1,566,UM-HS23769
XTK65881,3/19/2025,Homo sapiens,USA,H3N2,566,UM-HS23764
XTK65785,3/22/2025,Homo sapiens,USA,H3N2,566,UM-HS23760
XTK65835,3/17/2025,Homo sapiens,USA,H3N2,566,UM-HS23720
XTK65962,3/16/2025,Homo sapiens,USA,H3N2,566,UM-HS23715
XTK64799,3/18/2025,Homo sapiens,USA,H1N1,566,UM-HS23710
XTK64791,3/14/2025,Homo sapiens,USA,H1N1,566,UM-HS23708
XTK64782,3/2/2025,Homo sapiens,USA,H1N1,566,UM-HS23687
XTK65689,3/11/2025,Homo sapiens,USA,H3N2,566,UM-HS23679
XTK65683,3/11/2025,Homo sapiens,USA,H3N2,566,UM-HS23672
XTK65668,2/17/2025,Homo sapiens,USA,H3N2,566,UM-HS23667
XTK64769,3/10/2025,Homo sapiens,USA,H1N1,566,UM-HS23664
XTK64753,3/9/2025,Homo sapiens,USA,H1N1,566,UM-HS23653
XTK65944,3/11/2025,Homo sapiens,USA,H3N2,566,UM-HS23647
XTK65997,3/8/2025,Homo sapiens,USA,H3N2,566,UM-HS23646
XTK64752,3/8/2025,Homo sapiens,USA,H1N1,566,UM-HS23641
XTK66024,3/8/2025,Homo sapiens,USA,H3N2,566,UM-HS23635
XTK65846,3/10/2025,Homo sapiens,USA,H3N2,566,UM-HS23634
XTK64735,3/9/2025,Homo sapiens,USA,H1N1,566,UM-HS23633
XTK65857,3/6/2025,Homo sapiens,USA,H3N2,566,UM-HS23623
XTK65898,3/4/2025,Homo sapiens,USA,H3N2,566,UM-HS23588
XTK65735,3/4/2025,Homo sapiens,USA,H3N2,566,UM-HS23587
XTK65718,3/5/2025,Homo sapiens,USA,H3N2,566,UM-HS23586
XTK66036,3/5/2025,Homo sapiens,USA,H3N2,566,UM-HS23584
XTK65779,3/5/2025,Homo sapiens,USA,H3N2,566,UM-HS23583
XTK64319,3/4/2025,Homo sapiens,USA,H3N2,566,UM-HS23578
XTK64723,2/9/2025,Homo sapiens,USA,H1N1,566,UM-HS23541
XTK65823,2/28/2025,Homo sapiens,USA,H3N2,566,UM-HS23531
XTK65744,2/26/2025,Homo sapiens,USA,H3N2,566,UM-HS23527
XTK65654,2/25/2025,Homo sapiens,USA,H3N2,566,UM-HS23511
XTK65909,2/20/2025,Homo sapiens,USA,H3N2,566,UM-HS23494
XTK64710,2/5/2025,Homo sapiens,USA,H1N1,566,UM-HS23456
XTK64701,2/19/2025,Homo sapiens,USA,H1N1,566,UM-HS23448
XTK65934,2/18/2025,Homo sapiens,USA,H3N2,566,UM-HS23416
XTK64695,2/16/2025,Homo sapiens,USA,H1N1,566,UM-HS23414
XTK64680,2/16/2025,Homo sapiens,USA,H1N1,566,UM-HS23413
XTK64666,2/2/2025,Homo sapiens,USA,H1N1,566,UM-HS23408
XTK64659,2/11/2025,Homo sapiens,USA,H1N1,566,UM-HS23404
XTK64650,2/17/2025,Homo sapiens,USA,H1N1,566,UM-HS23403
XTK64638,2/11/2025,Homo sapiens,USA,H1N1,566,UM-HS23383
XTK66003,2/11/2025,Homo sapiens,USA,H3N2,566,UM-HS23382
XTK64624,2/11/2025,Homo sapiens,USA,H1N1,566,UM-HS23381
XTK64240,2/4/2025,Homo sapiens,USA,H3N2,566,UM-HS23377
XTK64613,2/7/2025,Homo sapiens,USA,H1N1,566,UM-HS23376
XTK64605,2/14/2025,Homo sapiens,USA,H1N1,566,UM-HS23367
XTK64395,2/13/2025,Homo sapiens,USA,H3N2,566,UM-HS23358
XTK64316,1/30/2025,Homo sapiens,USA,H3N2,566,UM-HS23349
XTK64596,2/12/2025,Homo sapiens,USA,H1N1,566,UM-HS23343
XTK64580,2/5/2025,Homo sapiens,USA,H1N1,566,UM-HS23335
XTK64254,2/11/2025,Homo sapiens,USA,H3N2,566,UM-HS23329
XTK64292,2/8/2025,Homo sapiens,USA,H3N2,566,UM-HS23320
XTK64274,2/11/2025,Homo sapiens,USA,H3N2,566,UM-HS23315
XTK64261,2/11/2025,Homo sapiens,USA,H3N2,566,UM-HS23312
XTK64576,2/8/2025,Homo sapiens,USA,H1N1,566,UM-HS23309
XTK64564,2/6/2025,Homo sapiens,USA,H1N1,566,UM-HS23293
XTK64552,2/7/2025,Homo sapiens,USA,H1N1,566,UM-HS23290
XTK64341,2/6/2025,Homo sapiens,USA,H3N2,566,UM-HS23287
XTK64533,2/2/2025,Homo sapiens,USA,H1N1,566,UM-HS23282
XTK64530,2/2/2025,Homo sapiens,USA,H1N1,566,UM-HS23280
XTK64521,2/3/2025,Homo sapiens,USA,H1N1,566,UM-HS23273
XTK64505,2/4/2025,Homo sapiens,USA,H1N1,566,UM-HS23268
XTK64388,2/4/2025,Homo sapiens,USA,H3N2,566,UM-HS23267
XTK64495,2/1/2025,Homo sapiens,USA,H1N1,566,UM-HS23257
XTK64208,1/30/2025,Homo sapiens,USA,H3N2,566,UM-HS23239
XTK64301,2/6/2025,Homo sapiens,USA,H3N2,566,UM-HS23231
XTK64478,2/6/2025,Homo sapiens,USA,H1N1,566,UM-HS23228
XTK64359,2/2/2025,Homo sapiens,USA,H3N2,566,UM-HS23222
XTK64352,2/3/2025,Homo sapiens,USA,H3N2,566,UM-HS23219
XTK64469,1/24/2025,Homo sapiens,USA,H1N1,566,UM-HS23201
XTK64461,1/30/2025,Homo sapiens,USA,H1N1,566,UM-HS23193
XTK64454,1/29/2025,Homo sapiens,USA,H1N1,566,UM-HS23178
XTK64439,1/29/2025,Homo sapiens,USA,H1N1,566,UM-HS23177
XTK64429,1/29/2025,Homo sapiens,USA,H1N1,566,UM-HS23172
XTK64413,1/28/2025,Homo sapiens,USA,H1N1,566,UM-HS23169
XTK64190,1/28/2025,Homo sapiens,USA,H3N2,566,UM-HS23167
XTK64406,1/26/2025,Homo sapiens,USA,H1N1,566,UM-HS23165
XPD02429,1/30/2025,Homo sapiens,USA,H1N1,566,UM-HS23161
XPD01985,1/28/2025,Homo sapiens,USA,H3N2,566,UM-HS23157
XPD02411,1/23/2025,Homo sapiens,USA,H1N1,566,UM-HS23153
XPD01860,1/28/2025,Homo sapiens,USA,H3N2,566,UM-HS23143
XPD01949,1/29/2025,Homo sapiens,USA,H3N2,566,UM-HS23140
XPD02410,1/27/2025,Homo sapiens,USA,H1N1,566,UM-HS23132
XPD02398,1/27/2025,Homo sapiens,USA,H1N1,566,UM-HS23131
XPD02386,1/23/2025,Homo sapiens,USA,H1N1,566,UM-HS23121
XPD02367,1/24/2025,Homo sapiens,USA,H1N1,566,UM-HS23097
XRL32742,1/26/2025,Homo sapiens,USA,,582,UM-HS23093
XPD02357,1/22/2025,Homo sapiens,USA,H1N1,566,UM-HS23064
XPD02350,1/21/2025,Homo sapiens,USA,H1N1,566,UM-HS23047
XPD02056,1/15/2025,Homo sapiens,USA,H3N2,566,UM-HS23037
XPD02340,1/14/2025,Homo sapiens,USA,H1N1,566,UM-HS23033
XPD01959,1/13/2025,Homo sapiens,USA,H3N2,566,UM-HS23029
XPD02011,1/14/2025,Homo sapiens,USA,H3N2,566,UM-HS23025
XPD02083,1/20/2025,Homo sapiens,USA,H3N2,566,UM-HS23022
XPD02190,1/20/2025,Homo sapiens,USA,H3N2,566,UM-HS23020
XPD02331,1/14/2025,Homo sapiens,USA,H1N1,566,UM-HS22991
XPD02320,1/9/2025,Homo sapiens,USA,H1N1,566,UM-HS22961
XPD02306,1/9/2025,Homo sapiens,USA,H1N1,566,UM-HS22933
XPD02129,1/6/2025,Homo sapiens,USA,H3N2,566,UM-HS22893
XPD02295,12/31/2024,Homo sapiens,USA,H1N1,566,UM-HS22826
XPD02099,12/26/2024,Homo sapiens,USA,H3N2,566,UM-HS22721
XPD02288,9/12/2024,Homo sapiens,USA,H1N1,566,UM-HS21693
XPD01747,7/8/2024,Homo sapiens,USA,H3N2,566,UM-HS21215
XBR33483,5/1/2024,Homo sapiens,USA,H1N1,566,UM-HS20741
XBR17780,5/1/2024,Homo sapiens,USA,H1N1,566,UM-HS20721
XBR17391,4/26/2024,Homo sapiens,USA,H3N2,566,UM-HS20717
XBR17486,4/23/2024,Homo sapiens,USA,H3N2,566,UM-HS20653
XBR19578,4/8/2024,Homo sapiens,USA,,582,UM-HS20516
XBR19564,4/9/2024,Homo sapiens,USA,,582,UM-HS20506
XBR17296,3/28/2024,Homo sapiens,USA,H3N2,566,UM-HS20445
XBR17771,4/1/2024,Homo sapiens,USA,H1N1,566,UM-HS20439
XBR19556,3/23/2024,Homo sapiens,USA,,582,UM-HS20391
XBR17758,3/22/2024,Homo sapiens,USA,H1N1,566,UM-HS20338
XBR19542,3/22/2024,Homo sapiens,USA,,582,UM-HS20333
WZN19067,3/9/2024,Homo sapiens,USA,H1N1,566,UM-HS20255
WZN19054,3/9/2024,Homo sapiens,USA,H1N1,566,UM-HS20253
XBR18880,3/1/2024,Homo sapiens,USA,,582,UM-HS20195
WZN19045,3/14/2024,Homo sapiens,USA,H1N1,566,UM-HS20183
WZN18676,3/4/2024,Homo sapiens,USA,H3N2,566,UM-HS20182
WZN18413,3/14/2024,Homo sapiens,USA,H3N2,566,UM-HS20181
WZN19039,3/8/2024,Homo sapiens,USA,H1N1,566,UM-HS20147
WZN18694,3/11/2024,Homo sapiens,USA,H3N2,566,UM-HS20130
WZN19026,3/11/2024,Homo sapiens,USA,H1N1,566,UM-HS20128
XBR18870,2/27/2024,Homo sapiens,USA,,582,UM-HS20119
WZN19014,3/7/2024,Homo sapiens,USA,H1N1,566,UM-HS20117
WZN19003,3/7/2024,Homo sapiens,USA,H1N1,566,UM-HS20115
WZN18990,3/2/2024,Homo sapiens,USA,H1N1,566,UM-HS20102
WZN18984,3/5/2024,Homo sapiens,USA,H1N1,566,UM-HS20100
WZN18970,3/5/2024,Homo sapiens,USA,H1N1,566,UM-HS20097
WZN18739,2/26/2024,Homo sapiens,USA,H3N2,566,UM-HS20087
WZN18957,3/5/2024,Homo sapiens,USA,H1N1,566,UM-HS20057
XBR18866,2/29/2024,Homo sapiens,USA,,582,UM-HS20054
XBR18857,2/28/2024,Homo sapiens,USA,,582,UM-HS20047
WZN18590,2/27/2024,Homo sapiens,USA,H3N2,566,UM-HS20038
XBR18839,2/27/2024,Homo sapiens,USA,,582,UM-HS20029
WZN18947,2/21/2024,Homo sapiens,USA,H1N1,566,UM-HS20013
XBR18832,2/20/2024,Homo sapiens,USA,,582,UM-HS20010
WZN18371,2/20/2024,Homo sapiens,USA,H3N2,566,UM-HS20006
XBR18817,2/26/2024,Homo sapiens,USA,,582,UM-HS20005
WZN18933,2/26/2024,Homo sapiens,USA,H1N1,566,UM-HS20001
WZN18631,2/26/2024,Homo sapiens,USA,H3N2,566,UM-HS19981
WZN18521,2/14/2024,Homo sapiens,USA,H3N2,566,UM-HS19975
XBR18811,2/21/2024,Homo sapiens,USA,,582,UM-HS19938
WZN18455,2/21/2024,Homo sapiens,USA,H3N2,566,UM-HS19937
WZN18751,2/21/2024,Homo sapiens,USA,H3N2,566,UM-HS19935
WZN18574,2/14/2024,Homo sapiens,USA,H3N2,566,UM-HS19881
WZN18479,2/14/2024,Homo sapiens,USA,H3N2,566,UM-HS19870
WZN18923,1/28/2024,Homo sapiens,USA,H1N1,566,UM-HS19864
WZN18913,2/12/2024,Homo sapiens,USA,H1N1,566,UM-HS19853
WZN18903,2/10/2024,Homo sapiens,USA,H1N1,566,UM-HS19851
XBR18801,2/13/2024,Homo sapiens,USA,,582,UM-HS19843
WZN18895,2/10/2024,Homo sapiens,USA,H1N1,566,UM-HS19791
WZN18503,2/6/2024,Homo sapiens,USA,H3N2,566,UM-HS19770
WZN18877,2/7/2024,Homo sapiens,USA,H1N1,566,UM-HS19753
WZN18551,2/7/2024,Homo sapiens,USA,H3N2,566,UM-HS19749
WZN18546,2/1/2024,Homo sapiens,USA,H3N2,566,UM-HS19719
WZN18866,2/4/2024,Homo sapiens,USA,H1N1,566,UM-HS19714
WZN18857,2/2/2024,Homo sapiens,USA,H1N1,566,UM-HS19692
WZN18606,2/2/2024,Homo sapiens,USA,H3N2,566,UM-HS19691
XBR17329,1/31/2024,Homo sapiens,USA,H3N2,566,UM-HS19645
WWQ37569,1/20/2024,Homo sapiens,USA,H1N1,566,UM-HS19637
WWQ37565,1/20/2024,Homo sapiens,USA,H1N1,566,UM-HS19636
WWQ37552,1/22/2024,Homo sapiens,USA,H1N1,566,UM-HS19612
WWQ37542,1/17/2024,Homo sapiens,USA,H1N1,566,UM-HS19597
WWQ37526,1/24/2024,Homo sapiens,USA,H1N1,566,UM-HS19596
WWQ37143,1/19/2024,Homo sapiens,USA,H3N2,566,UM-HS19564
WWQ37514,1/17/2024,Homo sapiens,USA,H1N1,566,UM-HS19562
WZN18401,1/7/2024,Homo sapiens,USA,H3N2,566,UM-HS19366
WWQ37502,1/2/2024,Homo sapiens,USA,H1N1,566,UM-HS19292
WWQ37493,1/2/2024,Homo sapiens,USA,H1N1,566,UM-HS19291
WWQ37201,12/26/2023,Homo sapiens,USA,H3N2,566,UM-HS19284
WWQ37485,12/25/2023,Homo sapiens,USA,H1N1,566,UM-HS19278
WXB50916,12/22/2023,Homo sapiens,USA,,582,UM-HS19257
WWQ37474,12/28/2023,Homo sapiens,USA,H1N1,566,UM-HS19252
WXB50902,1/3/2024,Homo sapiens,USA,,582,UM-HS19197
WWQ37460,12/13/2023,Homo sapiens,USA,H1N1,566,UM-HS18984
WWQ37455,11/13/2023,Homo sapiens,USA,H1N1,566,UM-HS18540
WWQ37104,10/4/2023,Homo sapiens,USA,H3N2,566,UM-HS18097
XBR17749,3/17/2024,Homo sapiens,USA,H1N1,566,UM-HCV44318
XBR19538,3/10/2024,Homo sapiens,USA,,582,UM-HCV43503
XBR19519,2/29/2024,Homo sapiens,USA,,582,UM-HCV42818
XBR17732,3/1/2024,Homo sapiens,USA,H1N1,566,UM-HCV42678
XBR19514,2/15/2024,Homo sapiens,USA,,582,UM-HCV41451
XBR18783,2/9/2024,Homo sapiens,USA,,582,UM-HCV40761
WZN18843,2/11/2024,Homo sapiens,USA,H1N1,566,UM-HCV40683
WZN18696,2/10/2024,Homo sapiens,USA,H3N2,566,UM-HCV40528
XBR18772,2/1/2024,Homo sapiens,USA,,582,UM-HCV40191
WZN18433,1/25/2024,Homo sapiens,USA,H3N2,566,UM-HCV39185
WZN18497,1/21/2024,Homo sapiens,USA,H3N2,566,UM-HCV38628
WZN18646,1/21/2024,Homo sapiens,USA,H3N2,566,UM-HCV38627
WZN18832,1/2/2024,Homo sapiens,USA,H1N1,566,UM-HCV36821
WZN18717,12/23/2023,Homo sapiens,USA,H3N2,566,UM-HCV36114
WZN18825,12/17/2023,Homo sapiens,USA,H1N1,566,UM-HCV35427
WWQ37424,11/19/2023,Homo sapiens,USA,H3N2,566,UM-HCV34206
WWQ37423,10/25/2023,Homo sapiens,USA,H1N1,566,UM-HCV30618
WWQ37411,10/4/2023,Homo sapiens,USA,H1N1,566,UM-HCV29208
XBR33147,5/16/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590818
XBR33479,5/9/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590816
XBR33461,5/9/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590814
XBR33026,5/3/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590806
XBR19497,5/6/2024,Homo sapiens,USA,,582,UM-CL24-590798
XBR33448,5/3/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590797
XBR33446,5/6/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590796
XBR17731,4/14/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590772
XBR17711,4/15/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590769
XBR17368,4/16/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590765
XBR17699,4/11/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590764
XBR20065,4/12/2024,Homo sapiens,USA,,582,UM-CL24-590761
XBR20049,4/15/2024,Homo sapiens,USA,,582,UM-CL24-590759
XBR17690,4/1/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590749
XBR20042,4/7/2024,Homo sapiens,USA,,582,UM-CL24-590728
XBR20030,4/7/2024,Homo sapiens,USA,,582,UM-CL24-590727
XBR17681,3/21/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590721
XBR32723,3/24/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590720
XBR32710,4/2/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590714
XBR32042,3/23/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590710
XBR32030,3/29/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590707
XBR32102,3/25/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590703
XBR32703,3/31/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590690
XBR32087,4/6/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590688
XBR32695,4/4/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590687
XBR18389,3/28/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590674
XBR18766,3/30/2024,Homo sapiens,USA,,582,UM-CL24-590669
XBR18753,3/28/2024,Homo sapiens,USA,,582,UM-CL24-590668
XBR18379,4/2/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590665
XBR17960,4/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590654
XBR17895,4/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590653
XBR17940,4/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590652
XBR18040,3/24/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590649
XBR18373,3/8/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590641
XBR18077,3/10/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590639
XBR18357,3/20/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590616
XBR18345,3/16/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590614
XBR18026,3/14/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590608
XBR18339,3/12/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590605
XBR16567,3/16/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590604
XBR15985,3/14/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590600
XBR15768,3/11/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590597
XBR15899,3/15/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590585
XBR16004,1/15/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590573
XBR16560,1/12/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590564
XBR16548,2/26/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590560
XBR18739,3/12/2024,Homo sapiens,USA,,582,UM-CL24-590551
XBR18735,3/14/2024,Homo sapiens,USA,,582,UM-CL24-590550
XBR18723,3/16/2024,Homo sapiens,USA,,582,UM-CL24-590549
XBR16533,3/5/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590540
XBR16522,3/6/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590536
XBR15739,3/13/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590532
XBR15677,3/9/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590528
XBR16507,3/2/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590505
XBR16504,2/27/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590504
XBR16494,2/28/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590500
XBR16474,2/29/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590498
XBR18709,2/27/2024,Homo sapiens,USA,,582,UM-CL24-590497
XBR15937,2/29/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590495
XBR15869,3/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590494
XBR16468,3/1/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590492
XBR16458,2/27/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590485
XBR15790,3/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590483
XBR18694,3/1/2024,Homo sapiens,USA,,582,UM-CL24-590482
XBR18684,3/8/2024,Homo sapiens,USA,,582,UM-CL24-590480
XBR18677,3/3/2024,Homo sapiens,USA,,582,UM-CL24-590479
XBR15882,3/8/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590477
XBR16445,3/3/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590475
XBR16434,3/3/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590472
XBR16419,3/4/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590468
XBR16414,3/3/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590467
XBR16401,3/3/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590410
XBR16036,3/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590405
XBR15978,3/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590403
XBR16392,3/1/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590402
XBR15917,3/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590401
XBR16383,3/1/2024,Homo sapiens,USA,H1N1,566,UM-CL24-590399
XBR15843,3/1/2024,Homo sapiens,USA,H3N2,566,UM-CL24-590394
